rank,iso,name,year_used,ppp_used,reliability,BSLI,F_ML,H,D,Hs,gini,F_ML_raw,H_raw,D_pct,Hs_palma
18,IRL,Ireland,2018,2017,fallback_10yr,0.5862,0.671,0.6358,0.0011,0.0626,0.306,37.5748,44.7276,0.0987,1.15
19,SVN,Slovenia,2019,2017,fallback_10yr,0.5624,0.6003,0.5589,0.0002,0.0129,0.2438,33.7247,39.5008,0.0156,0.8364
20,CYP,Cyprus,2019,2017,fallback_10yr,0.5501,0.6352,0.6133,0.0025,0.0695,0.3122,35.6276,43.2033,0.2226,1.1936
21,GBR,United Kingdom,2017,2017,fallback_10yr,0.5249,0.6334,0.6398,0.0054,0.1069,0.3515,35.5299,45.0,0.4854,1.4295
22,JPN,Japan,2013,2017,fallback_10yr,0.502,0.6083,0.5882,0.0105,0.0837,0.3285,34.1617,41.4921,0.9434,1.2832
23,CZE,Czechia,2019,2017,fallback_10yr,0.4856,0.532,0.4862,0.0,0.0189,0.2526,30.0091,34.5649,,0.8742
24,TWN,Taiwan,2016,2017,fallback_10yr,0.4757,0.5588,0.5408,0.0027,0.0696,0.3148,31.4653,38.2713,0.2477,1.1944
25,KOR,South Korea,2016,2017,fallback_10yr,0.4627,0.5386,0.5312,0.0055,0.066,0.314,30.3674,37.6204,0.4964,1.1714
26,ESP,Spain,2019,2017,fallback_10yr,0.4612,0.5631,0.5705,0.0128,0.0935,0.3431,31.6992,40.2914,1.1499,1.345
27,ITA,Italy,2018,2017,fallback_10yr,0.4452,0.5706,0.5761,0.0233,0.1054,0.3522,32.1085,40.6749,2.1032,1.4202
28,EST,Estonia,2019,2017,fallback_10yr,0.4257,0.5003,0.4874,0.0099,0.057,0.3077,28.2819,34.645,0.8889,1.115
29,SVK,Slovakia,2019,2017,fallback_10yr,0.3478,0.3709,0.342,0.0058,0.0,0.2323,21.2411,24.7624,0.5207,0.7552
30,PRT,Portugal,2019,2017,fallback_10yr,0.3308,0.4249,0.4106,0.0028,0.0827,0.3276,24.1828,29.4276,0.2498,1.2769
31,HRV,Croatia,2019,2017,fallback_10yr,0.3177,0.375,0.362,0.0068,0.0427,0.2891,21.4652,26.1209,0.6121,1.0249
32,LTU,Lithuania,2019,2017,fallback_10yr,0.3172,0.4395,0.4296,0.0076,0.1088,0.3525,24.9734,30.7126,0.6886,1.442
33,ISR,Israel,2018,2017,fallback_10yr,0.2964,0.4407,0.4727,0.011,0.1525,0.3858,25.0424,33.6455,0.9935,1.7175
34,HUN,Hungary,2019,2017,fallback_10yr,0.2845,0.355,0.342,0.0098,0.0529,0.2995,20.3759,24.7641,0.8823,1.0889
